"name","Europe","Africa","Asia","Oceania","Americas"
"overarching legal frameworks and public life",82.8947368421053,67.7393924,66.9550338709677,67.15909,66.2068965517241
"violence against women",87.7192994736842,73.7777788,74.9103964516129,81.94444625,79.6934879310345
"employment and economic benefits",93.1578947368421,69.6,69.3548387096774,61.25,74.8275862068966
"marriage and family",84.4497592105263,73.4545436,76.7448664516129,76.1363625,86.2068955172414
