"Location","% of world population","% of homicides"
"Americas",12.8493592410929,61.3816102408096
"Africa",18.5634151002288,19.1968135986577
"Asia",58.8938270044646,11.1414279217826
"Europe",9.12872246116581,8.1369274435088
"Oceania",0.564676193047817,0.143220795241306
