"name","Protected by OP2","Not protected by OP2"
"Africa",18.3675363555726,81.6324636444274
"Americas",58.9851268822007,41.0148731177993
"Asia",7.00474240110403,92.995257598896
"Europe",79.4553299982382,20.5446700017618
"Oceania",70.2777700596943,29.7222299403057
