"Category","Female","Male","diff","sign"
"family member",0.2554474729488,0.482057219091861,-0.226609746143061,"Male"
"intimate partner",0.673766687673503,0.256857709340743,0.41690897833276,"Female"
"unknown to the victim",0.41831132801844,2.90375756136087,-2.48544623334243,"Male"
