"","region_of_origin","region_of_asylum","Year","num_refugees"
"162","Stateless","Asia",2023,117
"163","Stateless","Asia",2024,122
"164","Stateless","Asia",2025,141
"165","Stateless","Europe",2020,49432
"166","Stateless","Europe",2021,52067
"167","Stateless","Europe",2022,49488
"168","Stateless","Europe",2023,49008
"169","Stateless","Europe",2024,33019
"170","Stateless","Europe",2025,31238
"171","Stateless","Oceania",2020,3995
"172","Stateless","Oceania",2021,3940
"173","Stateless","Oceania",2022,4067
"174","Stateless","Oceania",2023,2330
"175","Stateless","Oceania",2024,2494
"176","Stateless","Oceania",2025,2615
"177","Unknown","Africa",2020,131
"178","Unknown","Africa",2021,71
"179","Unknown","Africa",2022,6
"180","Unknown","Africa",2023,6
"181","Unknown","Africa",2024,7
"182","Unknown","Africa",2025,13
"183","Unknown","Americas",2020,11867
"184","Unknown","Americas",2021,17415
"185","Unknown","Americas",2022,7491
"186","Unknown","Americas",2023,7382
"187","Unknown","Americas",2024,7539
"188","Unknown","Americas",2025,32438
"189","Unknown","Asia",2020,1069
"190","Unknown","Asia",2021,2172
"191","Unknown","Asia",2022,2731
"192","Unknown","Asia",2023,75901
"193","Unknown","Asia",2024,94177
"194","Unknown","Asia",2025,3314
"195","Unknown","Europe",2020,169508
"196","Unknown","Europe",2021,78831
"197","Unknown","Europe",2022,87770
"198","Unknown","Europe",2023,94986
"199","Unknown","Europe",2024,89197
"200","Unknown","Europe",2025,90339
"201","Unknown","Oceania",2020,1492
"202","Unknown","Oceania",2021,2143
"203","Unknown","Oceania",2022,2169
"204","Unknown","Oceania",2023,977
"205","Unknown","Oceania",2024,769
"206","Unknown","Oceania",2025,680
