"Region Name","total","value","n"
"Africa",36726,19.1968135986577,5
"Americas",117431,61.3816102408096,5
"Asia",21315,11.1414279217826,5
"Europe",15567,8.1369274435088,5
"Oceania",274,0.143220795241306,5
