"Region Name","overarching","violence","employment","marriage"
"Africa",67.7393924,73.7777788,69.6,73.4545436
"Americas",66.2068965517241,79.6934879310345,74.8275862068966,86.2068955172414
"Asia",66.9550338709677,74.9103964516129,69.3548387096774,76.7448664516129
"Europe",82.8947368421053,87.7192994736842,93.1578947368421,84.4497592105263
"Oceania",67.15909,81.94444625,61.25,76.1363625
