"Location","FactValueNumeric","Region Name"
"Democratic People's Republic of Korea",72.64,"Asia"
"Morocco",72.62,"Africa"
"Saint Vincent and the Grenadines",72.56,"Americas"
"Tonga",72.72,"Oceania"
"Grenada",72.77,"Americas"
"Malaysia",72.81,"Asia"
"Romania",72.76,"Europe"
"Serbia",72.81,"Europe"
"Azerbaijan",72.91,"Asia"
"North Macedonia",73,"Europe"
"Armenia",72.98,"Asia"
"Bangladesh",73.1,"Asia"
"Belarus",73.12,"Europe"
"Cabo Verde",73.16,"Africa"
"Latvia",73.2,"Europe"
"Dominican Republic",73.32,"Americas"
"Belize",73.32,"Americas"
"Mauritius",73.42,"Africa"
"occupied Palestinian territory, including east Jerusalem",73.49,"Asia"
"Cuba",73.67,"Americas"
"Viet Nam",73.8,"Asia"
"Ecuador",73.96,"Americas"
"Seychelles",74.01,"Africa"
"Tunisia",74.07,"Africa"
"Lithuania",74.13,"Europe"
"Lebanon",74.34,"Asia"
"Bahrain",74.38,"Asia"
"Hungary",74.4,"Europe"
"Colombia",74.53,"Americas"
"Slovakia",74.51,"Europe"
"Argentina",74.57,"Americas"
"Montenegro",74.71,"Europe"
"Iran (Islamic Republic of)",74.71,"Asia"
"Bosnia and Herzegovina",74.85,"Europe"
"Bhutan",74.88,"Asia"
"Nicaragua",75.03,"Americas"
"Uruguay",74.98,"Americas"
"Thailand",75.29,"Asia"
"Türkiye",75.27,"Asia"
"Maldives",75.4,"Asia"
"Poland",75.4,"Europe"
"Jordan",75.65,"Asia"
"Algeria",75.98,"Africa"
"Saudi Arabia",76.43,"Asia"
"Albania",76.39,"Europe"
"United States of America",76.37,"Americas"
"Qatar",76.71,"Asia"
"Barbados",76.84,"Americas"
"Antigua and Barbuda",76.92,"Americas"
"Brunei Darussalam",76.92,"Asia"
"Croatia",76.86,"Europe"
"Czechia",77.08,"Europe"
"Estonia",77.13,"Europe"
"Sri Lanka",77.23,"Asia"
"Panama",77.24,"Americas"
"China",77.62,"Asia"
"United Arab Emirates",78.31,"Asia"
"Costa Rica",78.63,"Americas"
"Kuwait",78.95,"Asia"
"Chile",79.02,"Americas"
"Greece",79.6,"Europe"
"Puerto Rico",79.9,"Americas"
"United Kingdom of Great Britain and Northern Ireland",80.1,"Europe"
"Slovenia",80.41,"Europe"
"Germany",80.49,"Europe"
"Austria",80.99,"Europe"
"Netherlands (Kingdom of the)",81.12,"Europe"
"Denmark",81.18,"Europe"
"Portugal",81.18,"Europe"
"Belgium",81.51,"Europe"
"Finland",81.53,"Europe"
"Canada",81.58,"Americas"
"Ireland",81.6,"Europe"
"Israel",81.74,"Asia"
"Malta",81.81,"Europe"
"Cyprus",81.91,"Asia"
"France",81.92,"Europe"
"Italy",82.2,"Europe"
"New Zealand",82.2,"Oceania"
"Iceland",82.58,"Europe"
"Sweden",82.66,"Europe"
"Spain",82.66,"Europe"
"Luxembourg",82.78,"Europe"
"Norway",82.88,"Europe"
"Australia",83.1,"Oceania"
"Switzerland",83.33,"Europe"
"Republic of Korea",83.8,"Asia"
"Singapore",83.86,"Asia"
"Japan",84.46,"Asia"
"Lesotho",12.02,"Africa"
"Central African Republic",12.09,"Africa"
"Somalia",12.33,"Africa"
"Eswatini",13.05,"Africa"
"Zimbabwe",13.63,"Africa"
"Afghanistan",13.68,"Asia"
"Bolivia (Plurinational State of)",13.84,"Americas"
"Namibia",13.85,"Africa"
"Guinea-Bissau",14.08,"Africa"
"Mozambique",14.07,"Africa"
"Kiribati",14.12,"Oceania"
"Botswana",14.36,"Africa"
"Fiji",14.48,"Oceania"
"Solomon Islands",14.83,"Oceania"
"Eritrea",14.79,"Africa"
"Philippines",14.83,"Asia"
"Egypt",14.95,"Africa"
"Zambia",14.96,"Africa"
"South Sudan",15.07,"Africa"
"Haiti",15.17,"Americas"
"Congo",15.18,"Africa"
"Malawi",15.28,"Africa"
"South Africa",15.27,"Africa"
"Indonesia",15.4,"Asia"
"Democratic Republic of the Congo",15.4,"Africa"
"Chad",15.46,"Africa"
"Vanuatu",15.64,"Oceania"
"Madagascar",15.64,"Africa"
"India",15.62,"Asia"
"Gambia",15.74,"Africa"
"Papua New Guinea",15.83,"Oceania"
"Micronesia (Federated States of)",15.8,"Oceania"
"Angola",15.85,"Africa"
"Kenya",15.83,"Africa"
"Guyana",15.85,"Americas"
"Republic of Moldova",15.95,"Europe"
"Gabon",16.03,"Africa"
"Burundi",16.05,"Africa"
"Cameroon",16.05,"Africa"
"Togo",16.09,"Africa"
"Burkina Faso",16.14,"Africa"
"Honduras",16.11,"Americas"
"Guinea",16.33,"Africa"
"Kazakhstan",16.4,"Asia"
"Niger",16.49,"Africa"
"Equatorial Guinea",16.58,"Africa"
"Yemen",16.6,"Asia"
"Sierra Leone",16.63,"Africa"
"Mali",16.57,"Africa"
"Djibouti",16.66,"Africa"
"Jamaica",16.75,"Americas"
"Ghana",16.75,"Africa"
"Cote d'Ivoire",16.77,"Africa"
"Liberia",16.76,"Africa"
"Cambodia",16.76,"Asia"
"Senegal",16.84,"Africa"
"Bulgaria",16.79,"Europe"
"Georgia",16.8,"Asia"
"Pakistan",16.93,"Asia"
"Russian Federation",16.96,"Europe"
"Myanmar",17.09,"Asia"
"Lao People's Democratic Republic",17.18,"Asia"
"Paraguay",17.23,"Americas"
"Comoros",17.18,"Africa"
"Serbia",17.18,"Europe"
"Uganda",17.32,"Africa"
"Oman",17.25,"Asia"
"Guatemala",17.28,"Americas"
"Mauritania",17.42,"Africa"
"Timor-Leste",17.45,"Asia"
"Benin",17.36,"Africa"
"North Macedonia",17.37,"Europe"
"Nepal",17.42,"Asia"
"Ukraine",17.46,"Europe"
"Sudan",17.49,"Africa"
"Uzbekistan",17.52,"Asia"
"Rwanda",17.52,"Africa"
"Sao Tome and Principe",17.52,"Africa"
"Saint Lucia",17.7,"Americas"
"United Republic of Tanzania",17.67,"Africa"
"Samoa",17.73,"Oceania"
"Armenia",17.67,"Asia"
"Maldives",17.75,"Asia"
"Ethiopia",17.83,"Africa"
"Bahrain",17.76,"Asia"
"Romania",17.81,"Europe"
"Suriname",17.93,"Americas"
"Mongolia",17.91,"Asia"
"Iraq",17.96,"Asia"
"Morocco",18.03,"Africa"
"Belarus",18.06,"Europe"
"Cuba",18.12,"Americas"
"Turkmenistan",18.19,"Asia"
"occupied Palestinian territory, including east Jerusalem",18.22,"Asia"
"Libya",18.33,"Africa"
"Syrian Arab Republic",18.35,"Asia"
"Kyrgyzstan",18.27,"Asia"
"Bosnia and Herzegovina",18.34,"Europe"
"Malaysia",18.35,"Asia"
"Tajikistan",18.39,"Asia"
"Peru",18.42,"Americas"
"Montenegro",18.38,"Europe"
"Azerbaijan",18.44,"Asia"
"Nigeria",18.55,"Africa"
"Mexico",18.51,"Americas"
"Grenada",18.56,"Americas"
"Bahamas",18.58,"Americas"
"Tunisia",18.69,"Africa"
"Hungary",18.68,"Europe"
"Slovakia",18.75,"Europe"
"Tonga",18.94,"Oceania"
"Latvia",18.86,"Europe"
"Cabo Verde",18.98,"Africa"
"Democratic People's Republic of Korea",19.11,"Asia"
"Türkiye",19.32,"Asia"
"Trinidad and Tobago",19.43,"Americas"
"Lebanon",19.36,"Asia"
"Seychelles",19.42,"Africa"
"Brazil",19.41,"Americas"
"Qatar",19.47,"Asia"
"Lithuania",19.49,"Europe"
"Venezuela (Bolivarian Republic of)",19.55,"Americas"
"Viet Nam",19.62,"Asia"
"Argentina",19.57,"Americas"
"Bangladesh",19.73,"Asia"
"Poland",19.76,"Europe"
"El Salvador",19.94,"Americas"
"Mauritius",19.87,"Africa"
"Saint Vincent and the Grenadines",19.93,"Americas"
"Albania",19.94,"Europe"
"Iran (Islamic Republic of)",19.86,"Asia"
"Ecuador",20,"Americas"
"Jordan",19.96,"Asia"
"Belize",20.13,"Americas"
"Saudi Arabia",20.09,"Asia"
"Colombia",20.15,"Americas"
"Uruguay",20.17,"Americas"
"Croatia",20.29,"Europe"
"Czechia",20.29,"Europe"
"United Arab Emirates",20.42,"Asia"
"Antigua and Barbuda",20.88,"Americas"
"Bhutan",20.86,"Asia"
"Algeria",20.96,"Africa"
"Estonia",21.03,"Europe"
"China",21.21,"Asia"
"Nicaragua",21.17,"Americas"
"Dominican Republic",21.21,"Americas"
"Barbados",21.33,"Americas"
"Brunei Darussalam",21.35,"Asia"
"Sri Lanka",21.57,"Asia"
"United States of America",22.01,"Americas"
"Kuwait",22.39,"Asia"
"Panama",22.58,"Americas"
"Greece",22.63,"Europe"
"Thailand",22.75,"Asia"
"Chile",22.89,"Americas"
"Slovenia",22.96,"Europe"
"Germany",23.16,"Europe"
"United Kingdom of Great Britain and Northern Ireland",23.22,"Europe"
"Austria",23.45,"Europe"
"Denmark",23.46,"Europe"
"Costa Rica",23.5,"Americas"
"Netherlands (Kingdom of the)",23.47,"Europe"
"Ireland",23.9,"Europe"
"Belgium",24.02,"Europe"
"Portugal",23.99,"Europe"
"Israel",24.06,"Asia"
"Cyprus",24.16,"Asia"
"Finland",24.16,"Europe"
"Malta",24.29,"Europe"
"Italy",24.38,"Europe"
"Puerto Rico",24.61,"Americas"
"Sweden",24.71,"Europe"
"Luxembourg",24.73,"Europe"
"Canada",24.77,"Americas"
"Norway",24.83,"Europe"
"Iceland",24.86,"Europe"
"France",24.86,"Europe"
"Spain",24.95,"Europe"
"New Zealand",25.07,"Oceania"
"Switzerland",25.35,"Europe"
"Australia",25.69,"Oceania"
"Singapore",26.05,"Asia"
"Republic of Korea",26.16,"Asia"
"Japan",26.63,"Asia"
