Indicator,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Units,Time_Detail,Sex,Age,Disability status,Income,Education,Location,Grounds of discrimination,Nature,Reporting Type,Observation Status,ISOalpha3,Type,SeriesCode,Source,FootNote,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.8,PERCENT,2018-2019,BOTHSEX,ALLAGE,_T,_T,_T,URBAN,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.8,PERCENT,2018-2019,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.8,PERCENT,2019-2020,MALE,ALLAGE,_T,_T,_T,ALLAREA,CLOTH,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2021,1.8,PERCENT,2021,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 12184 households. Discrimination grounds (10): sex, age, disability or health status, ethnicity/ colour/language, migration status, socio-economic status, religion, sexual oritentation and gender identity, other grounds.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.80,PERCENT,2023,BOTHSEX,55-59,_T,_T,_T,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.80,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q3,_T,ALLAREA,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.80,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.80,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,PRIMAR,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.7,PERCENT,2018-2019,MALE,ALLAGE,_T,_T,_T,ALLAREA,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.7,PERCENT,2018-2019,MALE,ALLAGE,_T,_T,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.7,PERCENT,2019-2020,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,RELIGION,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,25-29,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,55-59,_T,_T,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,65+,_T,_T,_T,ALLAREA,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q2,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q3,_T,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,URBAN,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,ISCED11A_01,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,SECOND,ALLAREA,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,SECOND,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.70,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,AGG_5T8,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.6,PERCENT,2018-2019,BOTHSEX,ALLAGE,_T,_T,_T,URBAN,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.6,PERCENT,2019-2020,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,COLR,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2021,1.6,PERCENT,2021,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,RELIGION,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 12184 households. Discrimination grounds (10): sex, age, disability or health status, ethnicity/ colour/language, migration status, socio-economic status, religion, sexual oritentation and gender identity, other grounds.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.60,PERCENT,2023,BOTHSEX,40-44,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.60,PERCENT,2023,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.60,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q3,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.60,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q4,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.60,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q5,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.60,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,SECOND,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.5,PERCENT,2018-2019,BOTHSEX,ALLAGE,_T,_T,_T,URBAN,LANDIA,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.5,PERCENT,2018-2019,MALE,ALLAGE,_T,_T,_T,ALLAREA,ORIGIN,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,BOTHSEX,20-24,_T,_T,_T,ALLAREA,AGE,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,BOTHSEX,35-39,_T,_T,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,BOTHSEX,65+,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q1,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q4,_T,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.50,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,PRIMAR,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.4,PERCENT,2018-2019,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ORIGIN,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.4,PERCENT,2018-2019,BOTHSEX,ALLAGE,_T,_T,_T,URBAN,ORIGIN,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,BOTHSEX,15-19,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,BOTHSEX,20-24,_T,_T,_T,ALLAREA,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,BOTHSEX,50-54,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,BOTHSEX,60-64,_T,_T,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,MALE,ALLAGE,_T,_T,_T,ALLAREA,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,URBAN,ETHCOLLAN,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.40,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.3,PERCENT,2018-2019,BOTHSEX,ALLAGE,_T,_T,_T,RURAL,ORIGIN,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2018,1.3,PERCENT,2018-2019,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ORIGIN,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11195 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a nation or a peasant-indigenous group, language, clothing, origin, disability, religion or belief, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.3,PERCENT,2019-2020,MALE,ALLAGE,_T,_T,_T,ALLAREA,LANDIA,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2021,1.3,PERCENT,2021,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 12184 households. Discrimination grounds (10): sex, age, disability or health status, ethnicity/ colour/language, migration status, socio-economic status, religion, sexual oritentation and gender identity, other grounds.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2021,1.3,PERCENT,2021,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,SEX,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 12184 households. Discrimination grounds (10): sex, age, disability or health status, ethnicity/ colour/language, migration status, socio-economic status, religion, sexual oritentation and gender identity, other grounds.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2021,1.3,PERCENT,2021,MALE,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 12184 households. Discrimination grounds (10): sex, age, disability or health status, ethnicity/ colour/language, migration status, socio-economic status, religion, sexual oritentation and gender identity, other grounds.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.30,PERCENT,2023,BOTHSEX,35-39,_T,_T,_T,ALLAREA,MIG,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2023,1.30,PERCENT,2023,BOTHSEX,ALLAGE,_T,Q3,_T,ALLAREA,OTHER,C,G,A,BOL,Country,VC_VOV_GDSD,Bolivian Statistical Institute -  Household Survey 2023 ,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.2,PERCENT,2019-2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,LANDIA,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.2,PERCENT,2019-2020,MALE,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",68,Bolivia (Plurinational State of),2019,1.2,PERCENT,2019-2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,C,G,A,BOL,Country,VC_VOV_GDSD,National Statistical Office - Encuesta de Hogares,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 11776 households. Discrimination grounds (12): sex, sexual orientation and gender identity, age, skin colour, belonging to a peasant-indigenous group, language, clothing, origin, disability, religion, economic condition, other reason.",,,,,,,,,,
