Indicator,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Units,Time_Detail,Sex,Age,Disability status,Income,Education,Location,Grounds of discrimination,Nature,Reporting Type,Observation Status,ISOalpha3,Type,SeriesCode,Source,FootNote,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,0.90,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,LCOL,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,0.90,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,0.90,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,FAM,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",24,Angola,2020,38.40,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,SOCIOECON,E,G,A,AGO,Country,VC_VOV_GDSD,"Afrobarometer, Round 8","Estimations based on questions: Q84A, Q84B, Q84C",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",24,Angola,2020,32.20,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,E,G,A,AGO,Country,VC_VOV_GDSD,"Afrobarometer, Round 8","Estimations based on questions: Q84A, Q84B, Q84C",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",24,Angola,2020,32.00,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ETH,E,G,A,AGO,Country,VC_VOV_GDSD,"Afrobarometer, Round 8","Estimations based on questions: Q84A, Q84B, Q84C",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,18.4,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,6.7,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,SEX,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,5.7,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,OTHER,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,4.7,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,SOCIOECON,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,4.7,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,RELIGION,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,4.4,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,AGE,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,3.3,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ETHI,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,1.8,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,DIS,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",32,Argentina,2019,1.7,PERCENT,2019-2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,SEXO,C,G,A,ARG,Country,VC_VOV_GDSD,"National Statistical Office - Encuesta Nacional de Niñas, Niños y Adolescentes (MICS6)","Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 12202 women. Discrimination grounds (8): sex, age, ethnic or immigration origin, disability, religion or belief, sexual orientation, income, other reason.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,16.90,PERCENT,2020,BOTHSEX,25-39,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,16.40,PERCENT,2020,BOTHSEX,40-54,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,14.10,PERCENT,2020,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,13.30,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,13.30,PERCENT,2020,BOTHSEX,ALLAGE,PD,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,12.60,PERCENT,2020,MALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,12.20,PERCENT,2020,BOTHSEX,ALLAGE,PWD,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,11.70,PERCENT,2020,BOTHSEX,15-24,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,11.40,PERCENT,2020,BOTHSEX,55-69,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",36,Australia,2020,4.90,PERCENT,2020,BOTHSEX,70+,_T,_T,_T,ALLAREA,ALL,C,G,A,AUS,Country,VC_VOV_GDSD,National Statistical Office - Australian Bureau of Statistics - General Social Survey,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2015,32.00,PERCENT,2015,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1035. Discrimination grounds (9): gender, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being over 55 years old, being under 30 years old, religion or beliefs, disability, gender identity (being transgender or transsexual), other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2023,32.00,PERCENT,2023,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1012. Discrimination grounds (13): being a man or a woman, skin colour, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being transgender, being intersex, age/being perceived as old or young, religion or beliefs, disability, political opinions, socio-economic situation, general physical appearance, other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2015,29.00,PERCENT,2015,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1035. Discrimination grounds (9): gender, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being over 55 years old, being under 30 years old, religion or beliefs, disability, gender identity (being transgender or transsexual), other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2019,29.00,PERCENT,2019,MALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1027. Discrimination grounds (14): being a man or a woman, skin colour, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being a Roma, being a transgender, being intersex, age/being perceived as old or young, religion or beliefs, disability, political opinions, social class, general physical appearance, other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2023,29.00,PERCENT,2023,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1012. Discrimination grounds (13): being a man or a woman, skin colour, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being transgender, being intersex, age/being perceived as old or young, religion or beliefs, disability, political opinions, socio-economic situation, general physical appearance, other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2019,27.00,PERCENT,2019,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1027. Discrimination grounds (14): being a man or a woman, skin colour, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being a Roma, being a transgender, being intersex, age/being perceived as old or young, religion or beliefs, disability, political opinions, social class, general physical appearance, other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2015,26.00,PERCENT,2015,MALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1035. Discrimination grounds (9): gender, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being over 55 years old, being under 30 years old, religion or beliefs, disability, gender identity (being transgender or transsexual), other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2023,26.00,PERCENT,2023,MALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1012. Discrimination grounds (13): being a man or a woman, skin colour, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being transgender, being intersex, age/being perceived as old or young, religion or beliefs, disability, political opinions, socio-economic situation, general physical appearance, other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",40,Austria,2019,25.00,PERCENT,2019,FEMALE,ALLAGE,_T,_T,_T,ALLAREA,ALL,E,G,A,AUT,Country,VC_VOV_GDSD,European Commission - Eurobarometer survey,"Time period: refers only to occurrences in the last 12 months. Age: 15 years and over. Sample size: 1027. Discrimination grounds (14): being a man or a woman, skin colour, ethnic origin, sexual orientation (for example being lesbian, gay or bisexual), being a Roma, being a transgender, being intersex, age/being perceived as old or young, religion or beliefs, disability, political opinions, social class, general physical appearance, other. Estimates: the country data are estimates from data for the European Union region. Source: Eurobarometer survey.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,13.70,PERCENT,2023,FEMALE,ALLAGE,PD,_T,_T,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,11.60,PERCENT,2023,FEMALE,ALLAGE,_T,_T,PRIMAR,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,8.00,PERCENT,2023,FEMALE,ALLAGE,_T,Q1,_T,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,7.10,PERCENT,2023,FEMALE,ALLAGE,_T,_T,ISCED11_24,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,6.90,PERCENT,2023,FEMALE,ALLAGE,_T,_T,_T,RURAL,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,6.60,PERCENT,2023,FEMALE,15-19,_T,_T,_T,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,6.50,PERCENT,2023,FEMALE,30-34,_T,_T,_T,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",31,Azerbaijan,2023,6.50,PERCENT,2023,FEMALE,ALLAGE,_T,Q2,_T,ALLAREA,ALL,C,G,A,AZE,Country,VC_VOV_GDSD,National Statistical Office - According to the results of the Multiple Indicator Claster Survey (MICS) conducted in 2023,,,,,,,,,,,
