"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location.type","SpatialDimValueCode","Location","Period.type","Period","IsLatestYear","Dim1.type","Dim1","Dim1ValueCode","Dim2.type","Dim2","Dim2ValueCode","Dim3.type","Dim3","Dim3ValueCode","DataSourceDimValueCode","DataSource","FactValueNumericPrefix","FactValueNumeric","FactValueUoM","FactValueNumericLowPrefix","FactValueNumericLow","FactValueNumericHighPrefix","FactValueNumericHigh","Value","FactValueTranslationID","FactComments","Language","DateModified","Region Name","M49 Code","Sub-region Name"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","CAF","Central African Republic","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.38,NA,NA,54.11,NA,56.58,"55.4 [54.1-56.6]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",140,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","GNB","Guinea-Bissau","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.08,NA,NA,55.02,NA,57.18,"56.1 [55.0-57.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",624,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","ZWE","Zimbabwe","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.19,NA,NA,55.31,NA,57.02,"56.2 [55.3-57.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",716,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","EMR","Eastern Mediterranean","Country","SOM","Somalia","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.33,NA,NA,55.27,NA,57.47,"56.3 [55.3-57.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",706,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","SSD","South Sudan","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.48,NA,NA,54.91,NA,57.96,"56.5 [54.9-58.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",728,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","NAM","Namibia","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.27,NA,NA,56.5,NA,58.22,"57.3 [56.5-58.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",516,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","EMR","Eastern Mediterranean","Country","AFG","Afghanistan","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4,NA,NA,56.63,NA,58.2,"57.4 [56.6-58.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",4,"Southern Asia"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","TCD","Chad","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.53,NA,NA,56.27,NA,58.92,"57.5 [56.3-58.9]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",148,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","MOZ","Mozambique","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.66,NA,NA,56.64,NA,58.77,"57.7 [56.6-58.8]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",508,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","WPR","Western Pacific","Country","KIR","Kiribati","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.78,NA,NA,56.83,NA,58.85,"57.8 [56.8-58.9]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Oceania",296,"Micronesia"
