"Location","Value","Region Name"
"Tunisia","74.1 [73.6-74.7]","Africa"
"Lithuania","74.1 [74.1-74.2]","Europe"
"Lebanon","74.3 [73.8-74.9]","Asia"
"Bahrain","74.4 [74.1-74.7]","Asia"
"Hungary","74.4 [74.4-74.5]","Europe"
"Colombia","74.5 [74.1-75.1]","Americas"
"Slovakia","74.5 [74.5-74.6]","Europe"
"Argentina","74.6 [74.4-74.8]","Americas"
"Montenegro","74.7 [74.5-75.0]","Europe"
"Iran (Islamic Republic of)","74.7 [74.6-74.9]","Asia"
"Bosnia and Herzegovina","74.8 [74.5-75.5]","Europe"
"Bhutan","74.9 [74.2-75.5]","Asia"
"Nicaragua","75.0 [74.6-75.5]","Americas"
"Uruguay","75.0 [74.9-75.1]","Americas"
"Thailand","75.3 [74.6-76.2]","Asia"
"Türkiye","75.3 [74.9-75.8]","Asia"
"Maldives","75.4 [75.1-75.8]","Asia"
"Poland","75.4 [75.4-75.5]","Europe"
"Jordan","75.6 [75.2-76.2]","Asia"
"Algeria","76.0 [75.5-76.5]","Africa"
"Saudi Arabia","76.4 [76.0-76.9]","Asia"
"Albania","76.4 [76.1-76.9]","Europe"
"United States of America","76.4 [76.3-76.5]","Americas"
"Qatar","76.7 [76.2-77.4]","Asia"
"Barbados","76.8 [76.3-77.5]","Americas"
"Antigua and Barbuda","76.9","Americas"
"Brunei Darussalam","76.9 [76.6-77.4]","Asia"
"Croatia","76.9 [76.8-77.0]","Europe"
"Czechia","77.1 [77.0-77.2]","Europe"
"Estonia","77.1 [77.0-77.3]","Europe"
"Sri Lanka","77.2 [76.2-78.5]","Asia"
"Panama","77.2 [76.6-77.9]","Americas"
"China","77.6 [77.1-78.3]","Asia"
"United Arab Emirates","78.3 [77.9-78.9]","Asia"
"Costa Rica","78.6 [78.6-78.8]","Americas"
"Kuwait","79.0 [78.5-79.6]","Asia"
"Chile","79.0 [79.0-79.1]","Americas"
"Greece","79.6 [79.6-79.7]","Europe"
"Puerto Rico","79.9 [79.5-80.5]","Americas"
"United Kingdom of Great Britain and Northern Ireland","80.1 [80.1-80.2]","Europe"
"Slovenia","80.4 [80.3-80.6]","Europe"
"Germany","80.5 [80.5-80.6]","Europe"
"Austria","81.0 [81.0-81.1]","Europe"
"Netherlands (Kingdom of the)","81.1 [81.1-81.2]","Europe"
"Denmark","81.2 [81.1-81.3]","Europe"
"Portugal","81.2 [81.2-81.3]","Europe"
"Belgium","81.5 [81.5-81.6]","Europe"
"Finland","81.5 [81.5-81.6]","Europe"
"Canada","81.6 [81.5-81.7]","Americas"
"Ireland","81.6 [81.6-81.7]","Europe"
"Israel","81.7 [81.7-81.9]","Asia"
"Malta","81.8 [81.6-82.0]","Europe"
"Cyprus","81.9 [81.7-82.2]","Asia"
"France","81.9 [81.9-82.0]","Europe"
"Italy","82.2 [82.2-82.3]","Europe"
"New Zealand","82.2 [82.2-82.3]","Oceania"
"Iceland","82.6","Europe"
"Sweden","82.7 [82.4-83.0]","Europe"
"Spain","82.7 [82.7-82.7]","Europe"
"Luxembourg","82.8 [82.6-83.0]","Europe"
"Norway","82.9 [82.9-83.0]","Europe"
"Australia","83.1 [83.1-83.2]","Oceania"
"Switzerland","83.3 [83.3-83.4]","Europe"
"Republic of Korea","83.8 [83.8-83.9]","Asia"
"Singapore","83.9 [83.8-83.9]","Asia"
"Japan","84.5 [84.5-84.5]","Asia"
"Lesotho","12.0 [11.4-12.6]","Africa"
"Central African Republic","12.1 [11.5-12.8]","Africa"
"Somalia","12.3 [11.8-12.9]","Africa"
"Eswatini","13.1 [12.3-13.8]","Africa"
"Zimbabwe","13.6 [13.2-14.2]","Africa"
"Afghanistan","13.7 [13.2-14.2]","Asia"
"Bolivia (Plurinational State of)","13.8 [13.3-14.4]","Americas"
"Namibia","13.9 [13.3-14.4]","Africa"
"Guinea-Bissau","14.1 [13.5-14.7]","Africa"
"Mozambique","14.1 [13.6-14.6]","Africa"
"Kiribati","14.1 [13.6-14.8]","Oceania"
"Botswana","14.4 [13.9-15.0]","Africa"
"Fiji","14.5 [13.6-15.5]","Oceania"
"Solomon Islands","14.8 [14.2-15.5]","Oceania"
"Eritrea","14.8 [14.3-15.3]","Africa"
"Philippines","14.8 [14.3-15.3]","Asia"
"Egypt","14.9 [14.5-15.5]","Africa"
"Zambia","15.0 [14.3-15.6]","Africa"
"South Sudan","15.1 [14.2-15.8]","Africa"
"Haiti","15.2 [14.4-16.5]","Americas"
"Congo","15.2 [14.6-15.7]","Africa"
"Malawi","15.3 [14.8-15.7]","Africa"
"South Africa","15.3 [15.1-15.4]","Africa"
"Indonesia","15.4 [14.6-16.0]","Asia"
"Democratic Republic of the Congo","15.4 [14.8-15.9]","Africa"
"Chad","15.5 [14.8-16.2]","Africa"
"Vanuatu","15.6 [15.0-16.3]","Oceania"
"Madagascar","15.6 [15.1-16.2]","Africa"
"India","15.6 [15.3-15.9]","Asia"
"Gambia","15.7 [15.2-16.4]","Africa"
"Papua New Guinea","15.8 [14.9-16.9]","Oceania"
"Micronesia (Federated States of)","15.8 [15.2-16.4]","Oceania"
"Angola","15.8 [15.2-16.6]","Africa"
"Kenya","15.8 [15.4-16.3]","Africa"
"Guyana","15.9 [14.9-17.2]","Americas"
"Republic of Moldova","15.9 [15.7-16.2]","Europe"
"Gabon","16.0 [15.4-16.5]","Africa"
"Burundi","16.0 [15.6-16.7]","Africa"
"Cameroon","16.1 [15.4-16.7]","Africa"
"Togo","16.1 [15.4-16.7]","Africa"
"Burkina Faso","16.1 [15.7-16.7]","Africa"
"Honduras","16.1 [15.8-16.6]","Americas"
"Guinea","16.3 [15.6-17.1]","Africa"
"Kazakhstan","16.4 [16.1-16.7]","Asia"
"Niger","16.5 [15.9-17.1]","Africa"
"Equatorial Guinea","16.6 [15.6-17.4]","Africa"
"Yemen","16.6 [15.9-17.5]","Asia"
"Sierra Leone","16.6 [16.0-17.4]","Africa"
"Mali","16.6 [16.1-17.0]","Africa"
"Djibouti","16.7 [15.9-17.4]","Africa"
"Jamaica","16.7 [16.2-17.3]","Americas"
"Ghana","16.7 [16.2-17.4]","Africa"
"Cote d'Ivoire","16.8 [16.0-17.4]","Africa"
"Liberia","16.8 [16.1-17.5]","Africa"
"Cambodia","16.8 [16.2-17.4]","Asia"
"Senegal","16.8 [16.3-17.4]","Africa"
"Bulgaria","16.8 [16.7-16.9]","Europe"
"Georgia","16.8 [16.7-16.9]","Asia"
"Pakistan","16.9 [16.4-17.6]","Asia"
"Russian Federation","17.0 [16.9-17.0]","Europe"
"Myanmar","17.1 [16.4-17.7]","Asia"
"Lao People's Democratic Republic","17.2 [16.6-17.9]","Asia"
"Paraguay","17.2 [16.7-17.8]","Americas"
"Comoros","17.2 [16.7-17.9]","Africa"
"Serbia","17.2 [17.1-17.3]","Europe"
"Uganda","17.3 [16.8-18.0]","Africa"
"Oman","17.3 [16.9-17.6]","Asia"
"Guatemala","17.3 [16.9-17.7]","Americas"
"Mauritania","17.4 [16.7-18.2]","Africa"
"Timor-Leste","17.4 [16.7-18.3]","Asia"
"Benin","17.4 [16.8-17.9]","Africa"
"North Macedonia","17.4 [17.0-17.8]","Europe"
"Nepal","17.4 [17.0-17.9]","Asia"
"Ukraine","17.5 [16.4-18.5]","Europe"
"Sudan","17.5 [16.8-18.4]","Africa"
"Uzbekistan","17.5 [17.1-18.0]","Asia"
"Rwanda","17.5 [17.1-18.1]","Africa"
"Sao Tome and Principe","17.5 [17.3-17.8]","Africa"
"Saint Lucia","17.7 [16.9-18.5]","Americas"
"United Republic of Tanzania","17.7 [17.2-18.2]","Africa"
"Samoa","17.7 [17.3-18.1]","Oceania"
